SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID,Refcode,BioProject,Repository,Fastq,Focus of study,Notes,Analysis
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR9938281 NCBI ENA,SRX6686842,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR14022551 NCBI ENA,SRX10399124,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
COCA-3370-5,COCA 3370 /5 [CHA],genomic,SRR14022550 NCBI ENA,SRX10399125,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
COCA-3370-5,COCA 3370 /5 [CHA],transcriptomic,SRR9938228 NCBI ENA,SRX6686895,SAMN12500389,CRI001,P000007,GUI19A,,,,,,
ELP-37A,ELP 37 A,genomic,SRR9938270 NCBI ENA,SRX6686853,SAMN12500403,CRI001,P000157,GUI19A,,,,,,
ELP-37A,ELP 37 A,genomic,SRR9938269 NCBI ENA,SRX6686854,SAMN12500403,CRI001,P000157,GUI19A,,,,,,
ELP-37A,ELP 37 A,genomic,SRR9938268 NCBI ENA,SRX6686855,SAMN12500403,CRI001,P000157,GUI19A,,,,,,
ELP-37A,ELP 37 A,genomic,SRR14022529 NCBI ENA,SRX10399146,SAMN12500403,CRI001,P000157,GUI19A,,,,,,
ELP-37A,ELP 37 A,transcriptomic,SRR9938247 NCBI ENA,SRX6686876,SAMN12500403,CRI001,P000157,GUI19A,,,,,,
GU-123V,GU 123 /V,genomic,SRR9938317 NCBI ENA,SRX6686806,SAMN12500400,CRI001,P000128,GUI19A,,,,,,
GU-123V,GU 123 /V,genomic,SRR9938314 NCBI ENA,SRX6686809,SAMN12500400,CRI001,P000128,GUI19A,,,,,,
GU-123V,GU 123 /V,genomic,SRR9938313 NCBI ENA,SRX6686810,SAMN12500400,CRI001,P000128,GUI19A,,,,,,
GU-123V,GU 123 /V,genomic,SRR14022533 NCBI ENA,SRX10399142,SAMN12500400,CRI001,P000128,GUI19A,,,,,,
GU-123V,GU 123 /V,transcriptomic,SRR9938250 NCBI ENA,SRX6686873,SAMN12500400,CRI001,P000128,GUI19A,,,,,,
GU-195V,GU 195 /V,genomic,SRR9938337 NCBI ENA,SRX6686786,SAMN12500401,CRI001,P000139,GUI19A,,,,,,
GU-195V,GU 195 /V,genomic,SRR9938336 NCBI ENA,SRX6686787,SAMN12500401,CRI001,P000139,GUI19A,,,,,,
GU-195V,GU 195 /V,genomic,SRR9938335 NCBI ENA,SRX6686788,SAMN12500401,CRI001,P000139,GUI19A,,,,,,
GU-195V,GU 195 /V,genomic,SRR14022532 NCBI ENA,SRX10399143,SAMN12500401,CRI001,P000139,GUI19A,,,,,,
GU-195V,GU 195 /V,transcriptomic,SRR9938249 NCBI ENA,SRX6686874,SAMN12500401,CRI001,P000139,GUI19A,,,,,,
GU-257E,GU 257 /E,genomic,SRR9938329 NCBI ENA,SRX6686794,SAMN12500396,CRI001,P000144,GUI19A,,,,,,
GU-257E,GU 257 /E,genomic,SRR9938327 NCBI ENA,SRX6686796,SAMN12500396,CRI001,P000144,GUI19A,,,,,,
GU-257E,GU 257 /E,genomic,SRR9938326 NCBI ENA,SRX6686797,SAMN12500396,CRI001,P000144,GUI19A,,,,,,
GU-257E,GU 257 /E,genomic,SRR14022537 NCBI ENA,SRX10399138,SAMN12500396,CRI001,P000144,GUI19A,,,,,,
GU-257E,GU 257 /E,transcriptomic,SRR9938223 NCBI ENA,SRX6686900,SAMN12500396,CRI001,P000144,GUI19A,,,,,,
IMC-105,IMC 105,genomic,SRR9938278 NCBI ENA,SRX6686845,SAMN12500393,CRI001,P000011,GUI19A,,,,,,
IMC-105,IMC 105,genomic,SRR9938277 NCBI ENA,SRX6686846,SAMN12500393,CRI001,P000011,GUI19A,,,,,,
IMC-105,IMC 105,genomic,SRR9938272 NCBI ENA,SRX6686851,SAMN12500393,CRI001,P000011,GUI19A,,,,,,
IMC-105,IMC 105,genomic,SRR14022543 NCBI ENA,SRX10399132,SAMN12500393,CRI001,P000011,GUI19A,,,,,,
IMC-105,IMC 105,transcriptomic,SRR9938232 NCBI ENA,SRX6686891,SAMN12500393,CRI001,P000011,GUI19A,,,,,,
IMC-31,IMC 31,genomic,SRR9938333 NCBI ENA,SRX6686790,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-31,IMC 31,genomic,SRR9938332 NCBI ENA,SRX6686791,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-31,IMC 31,genomic,SRR9938271 NCBI ENA,SRX6686852,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-31,IMC 31,genomic,SRR14022541 NCBI ENA,SRX10399134,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-31,IMC 31,genomic,SRR14022540 NCBI ENA,SRX10399135,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-31,IMC 31,transcriptomic,SRR9938233 NCBI ENA,SRX6686890,SAMN12500394,CRI001,P000022,GUI19A,,,,,,
IMC-57,IMC 57,genomic,SRR9938331 NCBI ENA,SRX6686792,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-57,IMC 57,genomic,SRR9938330 NCBI ENA,SRX6686793,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-57,IMC 57,genomic,SRR9938328 NCBI ENA,SRX6686795,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-57,IMC 57,genomic,SRR14022539 NCBI ENA,SRX10399136,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-57,IMC 57,genomic,SRR14022538 NCBI ENA,SRX10399137,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-57,IMC 57,transcriptomic,SRR9938234 NCBI ENA,SRX6686889,SAMN12500395,CRI001,P000032,GUI19A,,,,,,
IMC-60,IMC 60,genomic,SRR9938276 NCBI ENA,SRX6686847,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
IMC-60,IMC 60,genomic,SRR9938275 NCBI ENA,SRX6686848,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
IMC-60,IMC 60,genomic,SRR9938274 NCBI ENA,SRX6686849,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
IMC-60,IMC 60,genomic,SRR14022547 NCBI ENA,SRX10399128,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
IMC-60,IMC 60,genomic,SRR14022546 NCBI ENA,SRX10399129,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
IMC-60,IMC 60,transcriptomic,SRR9938230 NCBI ENA,SRX6686893,SAMN12500391,CRI001,P000038,GUI19A,,,,,,
KER-1L,KER 1-L,genomic,SRR9938318 NCBI ENA,SRX6686805,SAMN12500399,CRI001,P000164,GUI19A,,,,,,
KER-1L,KER 1-L,genomic,SRR9938316 NCBI ENA,SRX6686807,SAMN12500399,CRI001,P000164,GUI19A,,,,,,
KER-1L,KER 1-L,genomic,SRR9938315 NCBI ENA,SRX6686808,SAMN12500399,CRI001,P000164,GUI19A,,,,,,
KER-1L,KER 1-L,genomic,SRR14022534 NCBI ENA,SRX10399141,SAMN12500399,CRI001,P000164,GUI19A,,,,,,
KER-1L,KER 1-L,transcriptomic,SRR9938251 NCBI ENA,SRX6686872,SAMN12500399,CRI001,P000164,GUI19A,,,,,,
KER-6,KER 6,genomic,SRR9938339 NCBI ENA,SRX6686784,SAMN12500402,CRI001,P000169,GUI19A,,,,,,
KER-6,KER 6,genomic,SRR9938267 NCBI ENA,SRX6686856,SAMN12500402,CRI001,P000169,GUI19A,,,,,,
KER-6,KER 6,genomic,SRR9938266 NCBI ENA,SRX6686857,SAMN12500402,CRI001,P000169,GUI19A,,,,,,
KER-6,KER 6,genomic,SRR14022530 NCBI ENA,SRX10399145,SAMN12500402,CRI001,P000169,GUI19A,,,,,,
KER-6,KER 6,transcriptomic,SRR9938248 NCBI ENA,SRX6686875,SAMN12500402,CRI001,P000169,GUI19A,,,,,,
NA-246,NA 246,genomic,SRR9938338 NCBI ENA,SRX6686785,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-246,NA 246,genomic,SRR9938312 NCBI ENA,SRX6686811,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-246,NA 246,genomic,SRR9938306 NCBI ENA,SRX6686817,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-246,NA 246,genomic,SRR14022528 NCBI ENA,SRX10399147,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-246,NA 246,genomic,SRR14022527 NCBI ENA,SRX10399148,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-246,NA 246,transcriptomic,SRR9938246 NCBI ENA,SRX6686877,SAMN12500404,CRI001,P000056,GUI19A,,,,,,
NA-33,NA 33,genomic,SRR9938303 NCBI ENA,SRX6686820,SAMN12500386,CRI001,P000190,GUI19A,,,,,,
NA-33,NA 33,genomic,SRR9938302 NCBI ENA,SRX6686821,SAMN12500386,CRI001,P000190,GUI19A,,,,,,
NA-33,NA 33,genomic,SRR9938300 NCBI ENA,SRX6686823,SAMN12500386,CRI001,P000190,GUI19A,,,,,,
NA-33,NA 33,genomic,SRR14022516 NCBI ENA,SRX10399159,SAMN12500386,CRI001,P000190,GUI19A,,,,,,
NA-33,NA 33,transcriptomic,SRR9938308 NCBI ENA,SRX6686815,SAMN12500386,CRI001,P000190,GUI19A,,,,,,
NA-34,NA 34,genomic,SRR9938301 NCBI ENA,SRX6686822,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-34,NA 34,genomic,SRR9938299 NCBI ENA,SRX6686824,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-34,NA 34,genomic,SRR9938298 NCBI ENA,SRX6686825,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-34,NA 34,genomic,SRR14022518 NCBI ENA,SRX10399157,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-34,NA 34,genomic,SRR14022517 NCBI ENA,SRX10399158,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-34,NA 34,transcriptomic,SRR9938323 NCBI ENA,SRX6686800,SAMN12500385,CRI001,P000066,GUI19A,,,,,,
NA-70,NA 70,genomic,SRR9938305 NCBI ENA,SRX6686818,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-70,NA 70,genomic,SRR9938304 NCBI ENA,SRX6686819,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-70,NA 70,genomic,SRR9938285 NCBI ENA,SRX6686838,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-70,NA 70,genomic,SRR14022515 NCBI ENA,SRX10399160,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-70,NA 70,genomic,SRR14022514 NCBI ENA,SRX10399161,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-70,NA 70,transcriptomic,SRR9938307 NCBI ENA,SRX6686816,SAMN12500387,CRI001,P000070,GUI19A,,,,,,
NA-710,NA 710,genomic,SRR9938244 NCBI ENA,SRX6686879,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-710,NA 710,genomic,SRR9938240 NCBI ENA,SRX6686883,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-710,NA 710,genomic,SRR9938239 NCBI ENA,SRX6686884,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-710,NA 710,genomic,SRR14022542 NCBI ENA,SRX10399133,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-710,NA 710,genomic,SRR14022531 NCBI ENA,SRX10399144,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-710,NA 710,transcriptomic,SRR9938217 NCBI ENA,SRX6686906,SAMN12500383,CRI001,P000072,GUI19A,,,,,,
NA-807,NA 807,genomic,SRR9938297 NCBI ENA,SRX6686826,SAMN12500384,CRI001,P000076,GUI19A,,,,,,
NA-807,NA 807,genomic,SRR9938296 NCBI ENA,SRX6686827,SAMN12500384,CRI001,P000076,GUI19A,,,,,,
NA-807,NA 807,genomic,SRR9938243 NCBI ENA,SRX6686880,SAMN12500384,CRI001,P000076,GUI19A,,,,,,
NA-807,NA 807,genomic,SRR14022520 NCBI ENA,SRX10399155,SAMN12500384,CRI001,P000076,GUI19A,,,,,,
NA-807,NA 807,transcriptomic,SRR9938220 NCBI ENA,SRX6686903,SAMN12500384,CRI001,P000076,GUI19A,,,,,,
NA-916,NA 916,genomic,SRR9938242 NCBI ENA,SRX6686881,SAMN12500382,CRI001,P000078,GUI19A,,,,,,
NA-916,NA 916,genomic,SRR9938241 NCBI ENA,SRX6686882,SAMN12500382,CRI001,P000078,GUI19A,,,,,,
NA-916,NA 916,genomic,SRR9938235 NCBI ENA,SRX6686888,SAMN12500382,CRI001,P000078,GUI19A,,,,,,
NA-916,NA 916,genomic,SRR14022553 NCBI ENA,SRX10399122,SAMN12500382,CRI001,P000078,GUI19A,,,,,,
NA-916,NA 916,transcriptomic,SRR9938218 NCBI ENA,SRX6686905,SAMN12500382,CRI001,P000078,GUI19A,,,,,,
OYA-2B,OYA 2 B,genomic,SRR9938325 NCBI ENA,SRX6686798,SAMN12500397,CRI001,P000172,GUI19A,,,,,,
OYA-2B,OYA 2 B,genomic,SRR9938324 NCBI ENA,SRX6686799,SAMN12500397,CRI001,P000172,GUI19A,,,,,,
OYA-2B,OYA 2 B,genomic,SRR9938320 NCBI ENA,SRX6686803,SAMN12500397,CRI001,P000172,GUI19A,,,,,,
OYA-2B,OYA 2 B,genomic,SRR14022536 NCBI ENA,SRX10399139,SAMN12500397,CRI001,P000172,GUI19A,,,,,,
OYA-2B,OYA 2 B,transcriptomic,SRR9938224 NCBI ENA,SRX6686899,SAMN12500397,CRI001,P000172,GUI19A,,,,,,
PA-107,PA 107 [PER],genomic,SRR9938259 NCBI ENA,SRX6686864,SAMN12500410,CRI001,P000087,GUI19A,,,,,,
PA-107,PA 107 [PER],genomic,SRR9938226 NCBI ENA,SRX6686897,SAMN12500410,CRI001,P000087,GUI19A,,,,,,
PA-107,PA 107 [PER],genomic,SRR9938225 NCBI ENA,SRX6686898,SAMN12500410,CRI001,P000087,GUI19A,,,,,,
PA-107,PA 107 [PER],genomic,SRR14022521 NCBI ENA,SRX10399154,SAMN12500410,CRI001,P000087,GUI19A,,,,,,
PA-107,PA 107 [PER],transcriptomic,SRR9938262 NCBI ENA,SRX6686861,SAMN12500410,CRI001,P000087,GUI19A,,,,,,
PA-13,PA 13 [PER],genomic,SRR9938293 NCBI ENA,SRX6686830,SAMN12500406,CRI001,P000094,GUI19A,,,,,,
PA-13,PA 13 [PER],genomic,SRR9938292 NCBI ENA,SRX6686831,SAMN12500406,CRI001,P000094,GUI19A,,,,,,
PA-13,PA 13 [PER],genomic,SRR9938291 NCBI ENA,SRX6686832,SAMN12500406,CRI001,P000094,GUI19A,,,,,,
PA-13,PA 13 [PER],genomic,SRR14022525 NCBI ENA,SRX10399150,SAMN12500406,CRI001,P000094,GUI19A,,,,,,
PA-13,PA 13 [PER],transcriptomic,SRR9938255 NCBI ENA,SRX6686868,SAMN12500406,CRI001,P000094,GUI19A,,,,,,
PA-16,PA 16 [PER],genomic,SRR9938295 NCBI ENA,SRX6686828,SAMN12500405,CRI001,P000101,GUI19A,,,,,,
PA-16,PA 16 [PER],genomic,SRR9938294 NCBI ENA,SRX6686829,SAMN12500405,CRI001,P000101,GUI19A,,,,,,
PA-16,PA 16 [PER],genomic,SRR14022526 NCBI ENA,SRX10399149,SAMN12500405,CRI001,P000101,GUI19A,,,,,,
PA-16,PA 16 [PER],genomic,SRR9938334 NCBI ENA,SRX6686789,SAMN12500405,CRI001,P000101,GUI19A,,,,,,
PA-16,PA 16 [PER],transcriptomic,SRR9938245 NCBI ENA,SRX6686878,SAMN12500405,CRI001,P000101,GUI19A,,,,,,
PA-279,PA 279 [PER],genomic,SRR14022524 NCBI ENA,SRX10399151,SAMN12500407,CRI001,P000105,GUI19A,,,,,,
PA-279,PA 279 [PER],genomic,SRR9938221 NCBI ENA,SRX6686902,SAMN12500407,CRI001,P000105,GUI19A,,,,,,
PA-279,PA 279 [PER],genomic,SRR9938222 NCBI ENA,SRX6686901,SAMN12500407,CRI001,P000105,GUI19A,,,,,,
PA-279,PA 279 [PER],genomic,SRR9938256 NCBI ENA,SRX6686867,SAMN12500407,CRI001,P000105,GUI19A,,,,,,
PA-279,PA 279 [PER],transcriptomic,SRR9938254 NCBI ENA,SRX6686869,SAMN12500407,CRI001,P000105,GUI19A,,,,,,
PA-299,PA 299 [PER],genomic,SRR14022522 NCBI ENA,SRX10399153,SAMN12500409,CRI001,P000108,GUI19A,,,,,,
PA-299,PA 299 [PER],genomic,SRR9938258 NCBI ENA,SRX6686865,SAMN12500409,CRI001,P000108,GUI19A,,,,,,
PA-299,PA 299 [PER],genomic,SRR9938260 NCBI ENA,SRX6686863,SAMN12500409,CRI001,P000108,GUI19A,,,,,,
PA-299,PA 299 [PER],genomic,SRR9938261 NCBI ENA,SRX6686862,SAMN12500409,CRI001,P000108,GUI19A,,,,,,
PA-299,PA 299 [PER],transcriptomic,SRR9938265 NCBI ENA,SRX6686858,SAMN12500409,CRI001,P000108,GUI19A,,,,,,
PA-71,PA 71 [PER],genomic,SRR14022523 NCBI ENA,SRX10399152,SAMN12500408,CRI001,P000122,GUI19A,,,,,,
PA-71,PA 71 [PER],genomic,SRR9938219 NCBI ENA,SRX6686904,SAMN12500408,CRI001,P000122,GUI19A,,,,,,
PA-71,PA 71 [PER],genomic,SRR9938253 NCBI ENA,SRX6686870,SAMN12500408,CRI001,P000122,GUI19A,,,,,,
PA-71,PA 71 [PER],genomic,SRR9938257 NCBI ENA,SRX6686866,SAMN12500408,CRI001,P000122,GUI19A,,,,,,
PA-71,PA 71 [PER],transcriptomic,SRR9938264 NCBI ENA,SRX6686859,SAMN12500408,CRI001,P000122,GUI19A,,,,,,
PA-81,PA 81 [PER],genomic,SRR14022519 NCBI ENA,SRX10399156,SAMN12500411,CRI001,P000123,GUI19A,,,,,,
PA-81,PA 81 [PER],genomic,SRR9938216 NCBI ENA,SRX6686907,SAMN12500411,CRI001,P000123,GUI19A,,,,,,
PA-81,PA 81 [PER],genomic,SRR9938309 NCBI ENA,SRX6686814,SAMN12500411,CRI001,P000123,GUI19A,,,,,,
PA-81,PA 81 [PER],genomic,SRR9938310 NCBI ENA,SRX6686813,SAMN12500411,CRI001,P000123,GUI19A,,,,,,
PA-81,PA 81 [PER],transcriptomic,SRR9938263 NCBI ENA,SRX6686860,SAMN12500411,CRI001,P000123,GUI19A,,,,,,
Pina,PINA,genomic,SRR14022535 NCBI ENA,SRX10399140,SAMN12500398,CRI001,P000176,GUI19A,,,,,,
Pina,PINA,genomic,SRR9938319 NCBI ENA,SRX6686804,SAMN12500398,CRI001,P000176,GUI19A,,,,,,
Pina,PINA,genomic,SRR9938321 NCBI ENA,SRX6686802,SAMN12500398,CRI001,P000176,GUI19A,,,,,,
Pina,PINA,genomic,SRR9938322 NCBI ENA,SRX6686801,SAMN12500398,CRI001,P000176,GUI19A,,,,,,
Pina,PINA,transcriptomic,SRR9938252 NCBI ENA,SRX6686871,SAMN12500398,CRI001,P000176,GUI19A,,,,,,
Pound-7,POUND 7,genomic,SRR14022554 NCBI ENA,SRX10399121,SAMN12500381,CRI001,P000082,GUI19A,,,,,,
Pound-7,POUND 7,genomic,SRR9938236 NCBI ENA,SRX6686887,SAMN12500381,CRI001,P000082,GUI19A,,,,,,
Pound-7,POUND 7,genomic,SRR9938237 NCBI ENA,SRX6686886,SAMN12500381,CRI001,P000082,GUI19A,,,,,,
Pound-7,POUND 7,genomic,SRR9938238 NCBI ENA,SRX6686885,SAMN12500381,CRI001,P000082,GUI19A,,,,,,
Pound-7,POUND 7,transcriptomic,SRR9938311 NCBI ENA,SRX6686812,SAMN12500381,CRI001,P000082,GUI19A,,,,,,
SPEC-54/1,SPEC 54 /1,genomic,SRR14022552 NCBI ENA,SRX10399123,SAMN12500388,CRI001,P000050,GUI19A,,,,,,
SPEC-54/1,SPEC 54 /1,genomic,SRR9938286 NCBI ENA,SRX6686837,SAMN12500388,CRI001,P000050,GUI19A,,,,,,
SPEC-54/1,SPEC 54 /1,genomic,SRR9938287 NCBI ENA,SRX6686836,SAMN12500388,CRI001,P000050,GUI19A,,,,,,
SPEC-54/1,SPEC 54 /1,genomic,SRR9938288 NCBI ENA,SRX6686835,SAMN12500388,CRI001,P000050,GUI19A,,,,,,
SPEC-54/1,SPEC 54 /1,transcriptomic,SRR9938227 NCBI ENA,SRX6686896,SAMN12500388,CRI001,P000050,GUI19A,,,,,,
,,genomic,,,,,,OSO20A,PRJNA734904,NCBI ENA,y,disease reaction;productivity;population analysis,,
,,genomic,,,,,,ARG23A,PRJNA880462,NCBI ENA,y,population analysis,,
,,genomic,,,,,,WON22A,PRJNA641269,NCBI ENA,y,disease reaction,,
830698,830698,genomic,SRR14743889 NCBI ENA,SRX11078233,SAMN19549052,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830699,830699,genomic,SRR14743888 NCBI ENA,SRX11078234,SAMN19549053,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830702,830702,genomic,SRR14743777 NCBI ENA,SRX11078345,SAMN19549054,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830703,830703,genomic,SRR14743737 NCBI ENA,SRX11078385,SAMN19549055,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830704,830704,genomic,SRR14743726 NCBI ENA,SRX11078396,SAMN19549056,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830710,830710,genomic,SRR14743715 NCBI ENA,SRX11078407,SAMN19549057,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830713,830713,genomic,SRR14743704 NCBI ENA,SRX11078418,SAMN19549058,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830714,830714,genomic,SRR14743693 NCBI ENA,SRX11078429,SAMN19549059,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830715,830715,genomic,SRR14743682 NCBI ENA,SRX11078440,SAMN19549060,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830716,830716,genomic,SRR14743671 NCBI ENA,SRX11078451,SAMN19549061,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830720,830720,genomic,SRR14743887 NCBI ENA,SRX11078235,SAMN19549062,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830723,830723,genomic,SRR14743876 NCBI ENA,SRX11078246,SAMN19549063,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830736,830736,genomic,SRR14743865 NCBI ENA,SRX11078257,SAMN19549064,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830740,830740,genomic,SRR14743854 NCBI ENA,SRX11078268,SAMN19549065,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830745,830745,genomic,SRR14743843 NCBI ENA,SRX11078279,SAMN19549066,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830746,830746,genomic,SRR14743832 NCBI ENA,SRX11078290,SAMN19549067,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830747,830747,genomic,SRR14743821 NCBI ENA,SRX11078301,SAMN19549068,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830752,830752,genomic,SRR14743810 NCBI ENA,SRX11078312,SAMN19549069,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830755,830755,genomic,SRR14743799 NCBI ENA,SRX11078323,SAMN19549070,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830758,830758,genomic,SRR14743788 NCBI ENA,SRX11078334,SAMN19549071,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830759,830759,genomic,SRR14743776 NCBI ENA,SRX11078346,SAMN19549072,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830761,830761,genomic,SRR14743765 NCBI ENA,SRX11078357,SAMN19549073,"AGROSAVIA, Colombia",,OSO20A,,,,,,
830763,830763,genomic,SRR14743754 NCBI ENA,SRX11078368,SAMN19549074,"AGROSAVIA, Colombia",,OSO20A,,,,,,
840777,840777,genomic,SRR14743744 NCBI ENA,SRX11078378,SAMN19549075,"AGROSAVIA, Colombia",,OSO20A,,,,,,
840778,840778,genomic,SRR14743743 NCBI ENA,SRX11078379,SAMN19549076,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861309,861309,genomic,SRR14743742 NCBI ENA,SRX11078380,SAMN19549077,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861310,861310,genomic,SRR14743741 NCBI ENA,SRX11078381,SAMN19549078,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861311,861311,genomic,SRR14743740 NCBI ENA,SRX11078382,SAMN19549079,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861312,861312,genomic,SRR14743739 NCBI ENA,SRX11078383,SAMN19549080,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861315,861315,genomic,SRR14743738 NCBI ENA,SRX11078384,SAMN19549081,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861317,861317,genomic,SRR14743736 NCBI ENA,SRX11078386,SAMN19549082,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861319,861319,genomic,SRR14743735 NCBI ENA,SRX11078387,SAMN19549083,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861321,861321,genomic,SRR14743734 NCBI ENA,SRX11078388,SAMN19549084,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861340,861340,genomic,SRR14743733 NCBI ENA,SRX11078389,SAMN19549085,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861370,861370,genomic,SRR14743732 NCBI ENA,SRX11078390,SAMN19549086,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861371,861371,genomic,SRR14743731 NCBI ENA,SRX11078391,SAMN19549087,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861372,861372,genomic,SRR14743730 NCBI ENA,SRX11078392,SAMN19549088,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861406,861406,genomic,SRR14743729 NCBI ENA,SRX11078393,SAMN19549089,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861610,861610,genomic,SRR14743728 NCBI ENA,SRX11078394,SAMN19549090,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861611,861611,genomic,SRR14743727 NCBI ENA,SRX11078395,SAMN19549091,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861613,861613,genomic,SRR14743725 NCBI ENA,SRX11078397,SAMN19549092,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861614,861614,genomic,SRR14743724 NCBI ENA,SRX11078398,SAMN19549093,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861618,861618,genomic,SRR14743723 NCBI ENA,SRX11078399,SAMN19549094,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861619,861619,genomic,SRR14743722 NCBI ENA,SRX11078400,SAMN19549095,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861622,861622,genomic,SRR14743721 NCBI ENA,SRX11078401,SAMN19549096,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861623,861623,genomic,SRR14743720 NCBI ENA,SRX11078402,SAMN19549097,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861645,861645,genomic,SRR14743719 NCBI ENA,SRX11078403,SAMN19549098,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861648,861648,genomic,SRR14743718 NCBI ENA,SRX11078404,SAMN19549099,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861654,861654,genomic,SRR14743717 NCBI ENA,SRX11078405,SAMN19549100,"AGROSAVIA, Colombia",,OSO20A,,,,,,
861683,861683,genomic,SRR14743716 NCBI ENA,SRX11078406,SAMN19549101,"AGROSAVIA, Colombia",,OSO20A,,,,,,
871854,871854,genomic,SRR14743714 NCBI ENA,SRX11078408,SAMN19549102,"AGROSAVIA, Colombia",,OSO20A,,,,,,
