Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
TSH 565,Phytophthora,,susceptible,,,MEJ00A,,,
TSH 565,Ceratosystis,,tolerant,,,MEJ00A,,,
TSH 565,Rosellinia,,susceptible,,,MEJ00A,,,
AMAZ 12,Phytophthora,,susceptible,,,GUI19A,,,
AMAZ 15 /15,Phytophthora,,resistant,,,GUI19A,,,
COCA 3370 /5 [CHA],Phytophthora,,resistant,,,GUI19A,,,
ELP 37 A,Phytophthora,,susceptible,,,GUI19A,,,
GU 123 /V,Phytophthora,,susceptible,,,GUI19A,,,
GU 195 /V,Phytophthora,,susceptible,,,GUI19A,,,
GU 257 /E,Phytophthora,,resistant,,,GUI19A,,,
IMC 105,Phytophthora,,susceptible,,,GUI19A,,,
IMC 31,Phytophthora,,susceptible,,,GUI19A,,,
IMC 57,Phytophthora,,susceptible,,,GUI19A,,,
IMC 60,Phytophthora,,resistant,,,GUI19A,,,
KER 1-L,Phytophthora,,resistant,,,GUI19A,,,
KER 6,Phytophthora,,susceptible,,,GUI19A,,,
NA 246,Phytophthora,,resistant,,,GUI19A,,,
NA 33,Phytophthora,,susceptible,,,GUI19A,,,
NA 34,Phytophthora,,susceptible,,,GUI19A,,,
NA 70,Phytophthora,,susceptible,,,GUI19A,,,
NA 710,Phytophthora,,resistant,,,GUI19A,,,
NA 807,Phytophthora,,susceptible,,,GUI19A,,,
NA 916,Phytophthora,,resistant,,,GUI19A,,,
OYA 2 B,Phytophthora,,resistant,,,GUI19A,,,
PA 107 [PER],Phytophthora,,susceptible,,,GUI19A,,,
PA 13 [PER],Phytophthora,,resistant,,,GUI19A,,,
PA 16 [PER],Phytophthora,,resistant,,,GUI19A,,,
PA 279 [PER],Phytophthora,,resistant,,,GUI19A,,,
PA 299 [PER],Phytophthora,,susceptible,,,GUI19A,,,
PA 71 [PER],Phytophthora,,susceptible,,,GUI19A,,,
PA 81 [PER],Phytophthora,,susceptible,,,GUI19A,,,
PINA,Phytophthora,,resistant,,,GUI19A,,,
POUND 7,Phytophthora,,resistant,,,GUI19A,,,
SPEC 54 /1,Phytophthora,,resistant,,,GUI19A,,,
GU 114 /P,Witches' Broom,,moderate resistance,Pod (Field Reaction),Population TAN,LAC06A,,,
GU 114 /P,Witches' Broom,,resistant,Lab Test,Population TAN,LAC06A,,,
GU 125 /C,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 6,LAC06A,,,
GU 168 /H,Witches' Broom,,susceptible,Shoot (Field Reaction),Population CAM 9,LAC06A,,,
GU 171 /C,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 9,LAC06A,,,
GU 207 /H,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 12,LAC06A,,,
GU 219 /F,Witches' Broom,,moderate resistance,Lab Test,Population CAM 3,LAC06A,,,
GU 219 /F,Witches' Broom,,resistant,Pod (Field Reaction),Population CAM 3,LAC06A,,,
GU 219 /F,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 3,LAC06A,,,
GU 221 /C,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 3,LAC06A,,,
GU 241 /P,Witches' Broom,,resistant,Pod (Field Reaction),Population CAM 3,LAC06A,,,
GU 241 /P,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 3,LAC06A,,,
GU 259 /C,Witches' Broom,,susceptible,Shoot (Field Reaction),Population CAM 1,LAC06A,,,
GU 261 /P,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 1,LAC06A,,,
GU 265 /P,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 1,LAC06A,,,
GU 277 /G,Witches' Broom,,resistant,Lab Test,Population CAM 1,LAC06A,,,
GU 277 /G,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 1,LAC06A,,,
GU 296 /H,Witches' Broom,,susceptible,Shoot (Field Reaction),Population CAM 13,LAC06A,,,
GU 307 /F,Witches' Broom,,resistant,Pod (Field Reaction),Population CAM 9,LAC06A,,,
GU 307 /F,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 9,LAC06A,,,
GU 310 /P,Witches' Broom,,resistant,Pod (Field Reaction),Population CAM 9,LAC06A,,,
GU 310 /P,Witches' Broom,,resistant,Shoot (Field Reaction),Population CAM 9,LAC06A,,,
AM 2 /28 [POU],Witches' Broom,,tolerant,,,POU43B,,,
AM 2 /38 [POU],Witches' Broom,,tolerant,,,POU43B,,,
B 7 /2 [POU],Witches' Broom,,tolerant,,,POU43B,,,
B 7 /5 [POU],Witches' Broom,,tolerant,,,POU43B,,,
CL 10 /15,Witches' Broom,,tolerant,,,POU43B,,,
CL 15,Witches' Broom,,tolerant,,,POU43B,,,
CL 19 /4,Witches' Broom,,tolerant,,,POU43B,,,
CLM 19,Witches' Broom,,tolerant,,,POU43B,,,
IMC 30,Witches' Broom,,tolerant,,,POU43B,,,
JA 2 /26 [POU],Witches' Broom,,tolerant,,,POU43B,,,
JA 3 /11 [POU],Witches' Broom,,tolerant,,,POU43B,,,
JA 7 /2 [POU],Witches' Broom,,tolerant,,,POU43B,,,
JA 7 /9 [POU],Witches' Broom,,tolerant,,,POU43B,,,
JA 8 /62 [POU],Witches' Broom,,tolerant,,,POU43B,,,
LP 1 /45 [POU],Witches' Broom,,tolerant,,,POU43B,,,
LP 6 /12 [POU],Witches' Broom,,tolerant,,,POU43B,,,
LV 56 [POU],Witches' Broom,,tolerant,,,POU43B,,,
LX 20,Witches' Broom,,tolerant,,,POU43B,,,
LZ 2,Witches' Broom,,tolerant,,,POU43B,,,
MO 80,Witches' Broom,,tolerant,,,POU43B,,,
MOQ 1 /17,Witches' Broom,,tolerant,,,POU43B,,,
MOQ 1 /19,Witches' Broom,,tolerant,,,POU43B,,,
MOQ 5 /4,Witches' Broom,,tolerant,,,POU43B,,,
MOQ 6 /67,Witches' Broom,,tolerant,,,POU43B,,,
NA 8,Witches' Broom,,tolerant,,,POU43B,,,
SLC 4,Witches' Broom,,tolerant,,,POU43B,,,
A 13 /D-56 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,13.05,percentage of infected pods,
A1 180 /2 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,12.66,percentage of infected pods,
A1 214 /9 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,12.78,percentage of infected pods,
ACU 85,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,12.78,percentage of infected pods,
B 11 /B-263 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,9.46,percentage of infected pods,
B 9 /5 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,14.98,percentage of infected pods,
B 9 /8 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,12.27,percentage of infected pods,
GS 29,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,16.58,percentage of infected pods,
GS 36,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,11.45,percentage of infected pods,
GW 1,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,20.98,percentage of infected pods,
ICS 100,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,15.35,percentage of infected pods,
ICS 39,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,11.46,percentage of infected pods,
ICS 84,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,8.96,percentage of infected pods,
ICS 89,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,10.65,percentage of infected pods,
ICS 95,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = B,SOU95A,13.41,percentage of infected pods,
IFC 2 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,12.39,percentage of infected pods,
IFC 25 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = B,SOU95A,15.23,percentage of infected pods,
IFC 27 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,11.65,percentage of infected pods,
IFC 317 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,19.31,percentage of infected pods,
IFC 413 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,15.04,percentage of infected pods,
IFC 414 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = B,SOU95A,6.49,percentage of infected pods,
IFC 5 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,7.82,percentage of infected pods,
IFC 5 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,10.02,percentage of infected pods,
IFC 5 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = B,SOU95A,9.47,percentage of infected pods,
IFC 5 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = EF,SOU95A,13.37,percentage of infected pods,
IFC 6 [CIV],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,8.9,percentage of infected pods,
IMC 31,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = CD,SOU95A,19.08,percentage of infected pods,
IMC 5,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = ABC,SOU95A,22.23,percentage of infected pods,
IMC 57,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = EF,SOU95A,14.11,percentage of infected pods,
IMC 6,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BCD,SOU95A,19.12,percentage of infected pods,
MO 81,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BCD,SOU95A,19.45,percentage of infected pods,
MO 9,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = EF,SOU95A,14.69,percentage of infected pods,
MOQ 4 /13,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = F,SOU95A,11.5,percentage of infected pods,
MOQ 6 /47,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = E,SOU95A,15.49,percentage of infected pods,
NA 32,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,19.4,percentage of infected pods,
PA 121 [PER],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = D,SOU95A,18.17,percentage of infected pods,
PA 13 [PER],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = EF,SOU95A,14.11,percentage of infected pods,
PA 150 [PER],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,14.95,percentage of infected pods,
PA 4 [PER],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = D,SOU95A,18.4,percentage of infected pods,
POUND 13 /B,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,25.26,percentage of infected pods,
POUND 19 /A,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = EF,SOU95A,14.39,percentage of infected pods,
POUND 32 /A,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,26.37,percentage of infected pods,
POUND 7,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,13.34,percentage of infected pods,
SCA 6,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,18.18,percentage of infected pods,
SF 13,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,11.77,percentage of infected pods,
SNK 109,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,14.03,percentage of infected pods,
SNK 12,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = A,SOU95A,15.91,percentage of infected pods,
T 16 /613 [POS],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,13.29,percentage of infected pods,
T 60 /887 [POS],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,8.56,percentage of infected pods,
T 63 /967 [POS],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,10.46,percentage of infected pods,
T 79 /501 [POS],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = C,SOU95A,6.65,percentage of infected pods,
UF 667,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,12.88,percentage of infected pods,
UPA 401,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,12.94,percentage of infected pods,
UPA 402,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = BC,SOU95A,13.14,percentage of infected pods,
UPA 413,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,10.22,percentage of infected pods,
UPA 620,Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,22.65,percentage of infected pods,
W 41 [POS],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,16.27,percentage of infected pods,
WA 40 [DR],Phytophthora,,,Pod,Rank calculated using Newman-Keuls test at 5% = AB,SOU95A,16.07,percentage of infected pods,
EET 397 [ECU],Vascular Streak Dieback,,resistant,,,LAM92B,,,
MOCORONGO,Vascular Streak Dieback,,resistant,,,LAM92B,,,
PA 20 [PER],Vascular Streak Dieback,,resistant,,,LAM92B,,,
UF 11,Vascular Streak Dieback,,resistant,,,LAM92B,,,
UF 667,Vascular Streak Dieback,,resistant,,,LAM92B,,,
C 4 /11 [TRI],Witches' Broom,,susceptible,,,ENR67C,,,
CC 10,Phytophthora,,susceptible,,,ENR67C,,,
CC 41,Phytophthora,,intermediate,,,ENR67C,,,
CC 9,Phytophthora,,susceptible,,,ENR67C,,,
EET 103 [ECU],Ceratosystis,,resistant,,,ENR67C,,,
EET 103 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 162 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 19 [ECU],Ceratosystis,,susceptible,,,ENR67C,,,
EET 19 [ECU],Frosty Pod,,intermediate,,,ENR67C,,,
EET 19 [ECU],Witches' Broom,,resistant,,,ENR67C,,,
EET 238 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 374 [ECU],Witches' Broom,,intermediate,,,ENR67C,,,
EET 392 [ECU],Witches' Broom,,resistant,,,ENR67C,,,
EET 399 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 400 [ECU],Witches' Broom,,resistant,,,ENR67C,,,
EET 48 [ECU],Ceratosystis,,intermediate,,,ENR67C,,,
EET 48 [ECU],Frosty Pod,,susceptible,,,ENR67C,,,
EET 48 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 62 [ECU],Ceratosystis,,intermediate,,,ENR67C,,,
EET 62 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 95 [ECU],Ceratosystis,,intermediate,,,ENR67C,,,
EET 95 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
EET 96 [ECU],Ceratosystis,,intermediate,,,ENR67C,,,
EET 96 [ECU],Witches' Broom,,susceptible,,,ENR67C,,,
GS 29,Witches' Broom,,susceptible,,,ENR67C,,,
GS 36,Witches' Broom,,susceptible,,,ENR67C,,,
ICS 1,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 100,Witches' Broom,,susceptible,,,ENR67C,,,
ICS 100,Ceratosystis,,intermediate,,,ENR67C,,,
ICS 16,Witches' Broom,,susceptible,,,ENR67C,,,
ICS 16,Ceratosystis,,intermediate,,,ENR67C,,,
ICS 55,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 55,Ceratosystis,,intermediate,,,ENR67C,,,
ICS 6,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 6,Ceratosystis,,intermediate,,,ENR67C,,,
ICS 75,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 8,Witches' Broom,,susceptible,,,ENR67C,,,
ICS 8,Ceratosystis,,intermediate,,,ENR67C,,,
ICS 95,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 95,Ceratosystis,,susceptible,,,ENR67C,,,
ICS 98,Witches' Broom,,intermediate,,,ENR67C,,,
ICS 98,Ceratosystis,,intermediate,,,ENR67C,,,
IMC 67,Witches' Broom,,resistant,,,ENR67C,,,
IMC 67,Ceratosystis,,resistant,,,ENR67C,,,
OC 61 [VEN],Ceratosystis,,susceptible,,,ENR67C,,,
OC 61 [VEN],Phytophthora,,susceptible,,,ENR67C,,,
OC 61 [VEN],Witches' Broom,,susceptible,,,ENR67C,,,
OC 77 [VEN],Ceratosystis,,susceptible,,,ENR67C,,,
OC 77 [VEN],Phytophthora,,susceptible,,,ENR67C,,,
OC 77 [VEN],Frosty Pod,,susceptible,,,ENR67C,,,
PA 121 [PER],Ceratosystis,,resistant,,,ENR67C,,,
POUND 12,Ceratosystis,,resistant,,,ENR67C,,,
POUND 12,Witches' Broom,,susceptible,,,ENR67C,,,
POUND 7,Ceratosystis,,susceptible,,,ENR67C,,,
POUND 7,Witches' Broom,,susceptible,,,ENR67C,,,
PQTO 87 [VEN],Ceratosystis,,intermediate,,,ENR67C,,,
PQTO 87 [VEN],Phytophthora,,intermediate,,,ENR67C,,,
PQTO 87 [VEN],Witches' Broom,,intermediate,,,ENR67C,,,
RIM 10 [MEX],Ceratosystis,,susceptible,,,ENR67C,,,
RIM 10 [MEX],Phytophthora,,susceptible,,,ENR67C,,,
RIM 13 [MEX],Ceratosystis,,susceptible,,,ENR67C,,,
RIM 13 [MEX],Phytophthora,,susceptible,,,ENR67C,,,
RIM 30 [MEX],Ceratosystis,,susceptible,,,ENR67C,,,
RIM 30 [MEX],Phytophthora,,susceptible,,,ENR67C,,,
RIM 48 [MEX],Ceratosystis,,susceptible,,,ENR67C,,,
RIM 48 [MEX],Phytophthora,,susceptible,,,ENR67C,,,
SC 10 [VEN],Ceratosystis,,intermediate,,,ENR67C,,,
SC 10 [VEN],Phytophthora,,intermediate,,,ENR67C,,,
SC 10 [VEN],Witches' Broom,,intermediate,,,ENR67C,,,
SCA 12,Witches' Broom,,resistant,,,ENR67C,,,
SCA 12,Ceratosystis,,intermediate,,,ENR67C,,,
SCA 6,Witches' Broom,,intermediate,,,ENR67C,,,
SCA 6,Ceratosystis,,intermediate,,,ENR67C,,,
SILECIA 1 [ECU],Witches' Broom,,resistant,,,ENR67C,,,
SILECIA 5 [ECU],Witches' Broom,,intermediate,,,ENR67C,,,
SPA 9 [COL],Ceratosystis,,resistant,,,ENR67C,,,
TSA 644,Ceratosystis,,susceptible,,,ENR67C,,,
TSA 644,Witches' Broom,,resistant,,,ENR67C,,,
TSA 654,Ceratosystis,,resistant,,,ENR67C,,,
TSA 654,Witches' Broom,,resistant,,,ENR67C,,,
TSAN 792,Ceratosystis,,susceptible,,,ENR67C,,,
TSAN 792,Witches' Broom,,resistant,,,ENR67C,,,
TSH 565,Ceratosystis,,susceptible,,,ENR67C,,,
TSH 565,Witches' Broom,,resistant,,,ENR67C,,,
UF 221,Phytophthora,,susceptible,,,ENR67C,,,
UF 221,Frosty Pod,,susceptible,,,ENR67C,,,
UF 29,Ceratosystis,,susceptible,,,ENR67C,,,
UF 29,Phytophthora,,susceptible,,,ENR67C,,,
UF 613,Ceratosystis,,susceptible,,,ENR67C,,,
UF 613,Phytophthora,,resistant,,,ENR67C,,,
UF 650,Ceratosystis,,susceptible,,,ENR67C,,,
UF 650,Phytophthora,,susceptible,,,ENR67C,,,
UF 667,Phytophthora,,susceptible,,,ENR67C,,,
CAP 34,Frosty Pod,Co10,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co13,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co16,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co14,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co8,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co5,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
CAP 34,Frosty Pod,Co1,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co10,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co14,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co13,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co16,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co8,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co5,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 1,Frosty Pod,Co1,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co10,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co13,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co16,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co14,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co8,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co5,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ICS 95,Frosty Pod,Co1,resistant,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
SC 37 [COL],Frosty Pod,Co10,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
SC 37 [COL],Frosty Pod,Co8,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
SC 37 [COL],Frosty Pod,Co5,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
SC 37 [COL],Frosty Pod,Co1,moderate resistance,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co10,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co13,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co16,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co14,susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co8,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co5,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
TSH 565,Frosty Pod,Co1,moderately susceptible,Pods (2-3 months old),,PHI05A,,Spray-inoculated in the field,
ARF 42,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.6,PHI97A,100.0,,
BE 10,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI97A,100.0,,
BE 2,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 5.0,PHI97A,100.0,,
BE 3,Frosty Pod,,susceptible,,External Severety = 2.4 and Internal Severety = 4.2,PHI97A,92.0,,
BE 4,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.4,PHI97A,85.0,,
BE 5,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.7,PHI97A,100.0,,
BS 2,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.7,PHI97A,94.0,,
C SUL 3,Frosty Pod,,susceptible,,External Severety = 5.0 and Internal Severety = 5.0,PHI97A,94.0,,
CAAG,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.9,PHI97A,100.0,,
CACAO ENANO,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 5.0,PHI97A,100.0,,
CAS 3,Frosty Pod,,moderately susceptible,,External Severety = 2.5 and Internal Severety = 3.4,PHI97A,100.0,,
CATIE 1000,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI97A,87.0,,
CATONGO,Frosty Pod,,susceptible,,External Severety = 3.0 and Internal Severety = 4.0,PHI97A,93.0,,
CATONGO /BLANCO,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.9,PHI97A,100.0,,
CC 10,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.3,PHI97A,100.0,,
CC 100,Frosty Pod,,susceptible,,External Severety = 3.8 and Internal Severety = 4.1,PHI97A,100.0,,
CC 103,Frosty Pod,,susceptible,,External Severety = 4.1 and Internal Severety = 4.5,PHI97A,100.0,,
CC 107,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI97A,100.0,,
CC 121,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.8,PHI97A,100.0,,
CC 132,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.9,PHI97A,100.0,,
CC 139,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 5.0,PHI97A,100.0,,
CC 143,Frosty Pod,,susceptible,,External Severety = 4.9 and Internal Severety = 5.0,PHI97A,100.0,,
CC 152,Frosty Pod,,susceptible,,External Severety = 4.5 and Internal Severety = 4.8,PHI97A,96.0,,
CC 158,Frosty Pod,,susceptible,,External Severety = 3.9 and Internal Severety = 4.6,PHI97A,98.0,,
CC 169,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.2,PHI97A,81.0,,
CC 17,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 4.8,PHI97A,100.0,,
CC 18,Frosty Pod,,susceptible,,External Severety = 3.1 and Internal Severety = 3.9,PHI97A,83.0,,
CC 182,Frosty Pod,,susceptible,,External Severety = 3.5 and Internal Severety = 3.9,PHI97A,100.0,,
CC 200,Frosty Pod,,susceptible,,External Severety = 4.4 and Internal Severety = 4.8,PHI97A,100.0,,
CC 201,Frosty Pod,,susceptible,,External Severety = 4.0 and Internal Severety = 4.6,PHI97A,100.0,,
CC 210,Frosty Pod,,susceptible,,External Severety = 4.8 and Internal Severety = 4.8,PHI97A,100.0,,
CC 212,Frosty Pod,,moderately susceptible,,External Severety = 3.0 and Internal Severety = 3.3,PHI97A,100.0,,
CC 213,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 5.0,PHI97A,100.0,,
CC 214,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.3,PHI97A,100.0,,
CC 215,Frosty Pod,,susceptible,,External Severety = 4.7 and Internal Severety = 4.8,PHI97A,100.0,,
CC 221,Frosty Pod,,susceptible,,External Severety = 4.2 and Internal Severety = 4.8,PHI97A,100.0,,
CC 222,Frosty Pod,,susceptible,,External Severety = 3.3 and Internal Severety = 4.2,PHI97A,88.0,,
CC 223,Frosty Pod,,susceptible,,External Severety = 4.6 and Internal Severety = 5.0,PHI97A,100.0,,
