Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Husk thickness,Length,Breadth,Colour,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
RIM 76 [MEX],absent,slightly acute,slight,superficial,13.4 mm (16 - 10.8),208.0,103.0,absent anthocyanin,896.0,3,moderate,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10437
RIM 78 [MEX],absent,slightly acute,moderate,superficial,10.9 mm (13.7 - 8.1),185.0,86.0,absent anthocyanin,579.0,3,hard,2.15,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.56,Accession TUR10438
RIM 8 [MEX],slight,acute - attenuate,moderate - intense,superficial - intermediate,12.35 mm (15.1 - 9.6),241.0,93.0,absent anthocyanin,868.0,5,moderate,2.59,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10417
RIM 9 [MEX],very slight,slightly acute,slight - moderate,imperceptible - superficial,10.95 mm (13.6 - 8.3),222.0,83.0,absent anthocyanin,604.0,3,moderate,2.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10418
SANTA CLARA 3 [ECU],absent,obtuse,slight,superficial,7.85 mm (9.6 - 6.1),136.0,72.0,absent anthocyanin,336.0,5,hard,1.88,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10456
SC 24 [COL],slight,obtuse - slightly acute,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10460
SC 49 [COL],very slight,slightly acute,slight - moderate,superficial,-,-,-,absent anthocyanin,-,5,-,-,-,Accession TUR10461
SC 5 [COL],absent,slightly acute,slight - moderate,superficial - intermediate,11.15 mm (13.9 - 8.4),191.0,84.0,negligible - slight / absent anthocyanin (ridge/furrow),599.0,8,soft,2.27,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.83,Accession TUR10457
SC 51 [COL],slight,slightly acute,very slight,superficial,-,-,-,slight - moderate / slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10462
SC 6 [COL],moderate - slight,slightly acute - acute,slight,superficial - intermediate,10.9 mm (13.6 - 8.2),193.0,90.0,moderate / slight - moderate anthocyanin (ridge/furrow),674.0,7,moderate,2.14,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10458
SCA 12,very slight,slightly acute,moderate,intermediate,9.2 mm (11.6 - 6.8),171.0,83.0,absent anthocyanin,477.0,3,hard,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10466
SCA 6,absent,slightly acute,slight,intermediate,8.85 mm (11.1 - 6.6),180.0,74.0,absent anthocyanin,470.0,2,hard,2.43,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10464
SCA 6,very slight,obtuse,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10463
SCA 9,slight,slightly acute,slight,superficial,9.7 mm (11.8 - 7.6),163.0,83.0,absent anthocyanin,443.0,7,hard,1.96,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10465
SCR 4,absent,slightly acute,slight,imperceptible - superficial,12.75 mm (14.7 - 10.8),182.0,103.0,absent anthocyanin,850.0,7,moderate,1.76,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.84,Accession TUR10467
SCR 5,very slight,obtuse - slightly acute,very slight,superficial - intermediate,14.9 mm (14.9 - 14.9),196.0,91.0,absent anthocyanin,813.0,5,hard,2.15,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10468
SGU 3,moderate - slight,obtuse,very slight,imperceptible - superficial,8.35 mm (10.2 - 6.5),155.0,84.0,absent anthocyanin,480.0,7,hard,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.87,Accession TUR10471
SGU 4,moderate,slightly acute - acute,moderate - intense,imperceptible - superficial,8.6 mm (10.8 - 6.4),219.0,84.0,absent anthocyanin,656.0,3,hard,2.60,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10472
SGU 60,moderate,acute,slight,superficial,11.4 mm (14.2 - 8.6),210.0,88.0,absent anthocyanin,720.0,3,moderate,2.38,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10469
SGU 63,absent,acute,moderate,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10470
SGU 69,moderate - strong,obtuse,moderate,imperceptible - superficial,6.65 mm (8.2 - 5.1),145.0,75.0,absent anthocyanin,331.0,6,hard,1.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10473
SGU 71,absent,slightly obtuse - obtuse,smooth,imperceptible - superficial,8.1 mm (9.4 - 6.8),113.0,83.0,absent anthocyanin,405.0,5,hard,1.36,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10474
SGU 82,absent,obtuse,slight,imperceptible - superficial,12.1 mm (13.8 - 10.4),174.0,84.0,absent anthocyanin,553.0,7,soft,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10475
SGU 84,moderate - slight,obtuse - slightly acute,very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10476
SIAL 163,very slight,obtuse,very slight,imperceptible - superficial,8.25 mm (9.9 - 6.6),152.0,90.0,absent anthocyanin,532.0,3,hard,1.68,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.87,Accession TUR10484
SIAL 169,slight,obtuse,smooth - very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10485
SIAL 325,slight,slightly acute,very slight,imperceptible - superficial,8.45 mm (10 - 6.9),146.0,85.0,absent anthocyanin,452.0,3,hard,1.71,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.85,Accession TUR10486
SIAL 325,moderate,slightly acute,very slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10307
SIAL 339,absent,obtuse,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10308
SIAL 407,absent,slightly obtuse,slight,superficial,7.75 mm (9.2 - 6.3),126.0,95.0,absent anthocyanin,482.0,7,moderate,1.32,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.83,Accession TUR10487
SIAL 42,absent,slightly obtuse - obtuse,very slight,superficial - intermediate,10.8 mm (12.5 - 9.1),137.0,91.0,absent anthocyanin,529.0,5,moderate,1.50,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10479
SIAL 44,very slight,slightly acute,very slight,imperceptible - superficial,9.65 mm (11.7 - 7.6),164.0,93.0,absent anthocyanin,622.0,2,hard,1.76,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.91,Accession TUR10480
SIAL 56,very slight,obtuse,slight,superficial - intermediate,10.3 mm (12.7 - 7.9),173.0,93.0,absent anthocyanin,673.0,2,hard,1.86,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.86,Accession TUR10481
SIAL 70,very slight,slightly obtuse,smooth,imperceptible,8.85 mm (10.9 - 6.8),148.0,96.0,absent anthocyanin,481.0,2,hard,1.54,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.91,Accession TUR10482
SIAL 8,very slight,obtuse,very slight,superficial,7.45 mm (8.6 - 6.3),143.0,77.0,absent anthocyanin,362.0,6,soft,1.85,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10478
SIAL 93,absent,obtuse,very slight,imperceptible - superficial,8.4 mm (10.1 - 6.7),132.0,91.0,absent anthocyanin,484.0,7,soft,1.45,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.90,Accession TUR10483
SIC 1,absent,slightly obtuse,very slight,imperceptible - superficial,8.8 mm (10.2 - 7.4),128.0,91.0,absent anthocyanin,528.0,3,hard,1.40,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.97,Accession TUR10489
SIC 1,absent,slightly obtuse,very slight,imperceptible - superficial,8.15 mm (9.4 - 6.9),122.0,86.0,absent anthocyanin,444.0,4,hard,1.41,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10488
SIC 2,very slight,obtuse,very slight,imperceptible - superficial,8.4 mm (9.8 - 7),131.0,87.0,absent anthocyanin,423.0,5,moderate,1.50,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.96,Accession TUR10490
SIC 256,very slight,obtuse,smooth,superficial,7.9 mm (9.5 - 6.3),148.0,86.0,absent anthocyanin,431.0,1,hard,1.72,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10494
SIC 28,absent,slightly acute - acute,slight,superficial,13.2 mm (15.8 - 10.6),199.0,100.0,absent anthocyanin,634.0,2,moderate,1.99,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10493
SIC 329,absent,slightly obtuse - obtuse,smooth,superficial,8.2 mm (9.8 - 6.6),137.0,87.0,absent anthocyanin,445.0,5,hard,1.57,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.83,Accession TUR10495
SIC 433,absent,slightly obtuse - obtuse,slight,superficial,8.2 mm (10.1 - 6.3),152.0,93.0,absent anthocyanin,525.0,5,hard,1.63,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10496
SIC 6,very slight,obtuse,moderate,superficial - intermediate,9.65 mm (11.8 - 7.5),153.0,91.0,absent anthocyanin,554.0,7,moderate,1.68,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.97,Accession TUR10491
SIC 7,very slight,obtuse,slight,superficial,8.7 mm (10.5 - 6.9),135.0,87.0,absent anthocyanin,417.0,7,hard,1.55,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10492
SIC 802,very slight,obtuse,very slight,imperceptible - superficial,8.5 mm (10.3 - 6.7),152.0,86.0,absent anthocyanin,480.0,2,hard,1.76,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10497
SIC 806,absent,slightly obtuse - obtuse,smooth,imperceptible - superficial,10.05 mm (11.5 - 8.6),135.0,92.0,absent anthocyanin,529.0,3,hard,1.46,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.87,Accession TUR10498
SIC 813,absent,slightly obtuse - obtuse,smooth - very slight,imperceptible - superficial,9.35 mm (10.7 - 8),138.0,89.0,absent anthocyanin,495.0,6,hard,1.55,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.94,Accession TUR10499
SILECIA 5 [ECU],very slight,slightly acute,moderate,superficial - intermediate,9.15 mm (11.4 - 6.9),166.0,78.0,absent anthocyanin,471.0,5,soft,2.12,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10281
SM 2 [SAO],slight,slightly acute,very slight,imperceptible - superficial,-,-,-,slight - moderate / slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10503
SNK 12,very slight,slightly acute,moderate,imperceptible - superficial,12.25 mm (15.6 - 8.9),210.0,104.0,high / moderate anthocyanin (ridge/furrow),1006.0,2,hard,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.91,Accession TUR10504
SPA 10 [COL],very slight,obtuse - slightly acute,slight,imperceptible - superficial,9.3 mm (11.4 - 7.2),174.0,91.0,absent anthocyanin,640.0,7,hard,1.91,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.97,Accession TUR10509
SPA 11 [COL],absent,obtuse,slight,intermediate,10.9 mm (13.3 - 8.5),185.0,98.0,absent anthocyanin,752.0,6,moderate,1.88,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.86,Accession TUR10510
SPA 12 [COL],absent,obtuse,moderate,imperceptible - superficial,13.35 mm (15.9 - 10.8),210.0,106.0,absent anthocyanin,1009.0,-,moderate,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.89,Accession TUR10511
SPA 17 [COL],absent,obtuse,very slight,imperceptible - superficial,9.65 mm (11.6 - 7.7),164.0,86.0,absent anthocyanin,536.0,5,hard,1.90,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10512
SPA 4 [COL],absent,slightly acute,very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10505
SPA 5 [COL],absent,slightly acute,moderate,superficial,12.9 mm (15.4 - 10.4),202.0,92.0,absent anthocyanin,858.0,5,moderate,2.19,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10506
SPA 7 [COL],very slight,slightly acute,moderate,imperceptible - superficial,15.1 mm (18.1 - 12.1),212.0,108.0,absent anthocyanin,1171.0,4,moderate,1.96,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.92,Accession TUR10507
SPA 9 [COL],absent,obtuse - slightly acute,very slight,superficial,9.75 mm (11.7 - 7.8),158.0,84.0,absent anthocyanin,533.0,5,hard,1.88,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10508
STICA 100,absent,attenuate,moderate - intense,intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10513
TJ 1,moderate - slight,obtuse,smooth - very slight,imperceptible,9.9 mm (12.2 - 7.6),164.0,88.0,absent anthocyanin,608.0,-,hard,1.86,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.90,Accession TUR10517
TSA 644,very slight,slightly acute,intense,deep,9.8 mm (12.7 - 6.9),175.0,81.0,absent anthocyanin,476.0,5,-,2.16,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10527
TSAN 792,absent,slightly acute,moderate,intermediate,8.85 mm (11.3 - 6.4),178.0,84.0,slight - moderate / negligible anthocyanin (ridge/furrow),558.0,8,moderate,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10524
TSAN 812,moderate - slight,slightly acute,very slight,intermediate,-,-,-,moderate / slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10528
TSH 565,slight,slightly acute,slight,intermediate,10.85 mm (13.6 - 8.1),217.0,82.0,high / moderate anthocyanin (ridge/furrow),628.0,6,moderate,2.64,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10525
TSH 565,slight,obtuse - slightly acute,slight,intermediate,10.2 mm (13.9 - 6.5),217.0,86.0,high / moderate anthocyanin (ridge/furrow),704.0,3,moderate,2.52,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10526
TSH 565,moderate,slightly acute,moderate,superficial,10.55 mm (13.3 - 7.8),211.0,96.0,absent anthocyanin,621.0,7,moderate,2.19,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR11672
UF 10,absent,acute,slight,superficial - intermediate,-,189.0,94.0,absent anthocyanin,792.0,6,moderate,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10533
UF 11,very slight,acute,slight,superficial,14.1 mm (16.6 - 11.6),202.0,94.0,absent anthocyanin,784.0,7,soft,2.14,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10534
UF 12,very slight,slightly acute - acute,slight,superficial,11.45 mm (13.5 - 9.4),190.0,93.0,absent anthocyanin,675.0,3,moderate,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10535
UF 122,very slight,slightly acute,slight,superficial - intermediate,9.9 mm (12.2 - 7.6),180.0,91.0,absent anthocyanin,571.0,2,moderate,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10542
UF 168,absent,slightly acute - acute,slight,superficial - intermediate,11.05 mm (13.4 - 8.7),171.0,89.0,absent anthocyanin,585.0,5,moderate,1.92,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10543
UF 20,slight,obtuse,slight,deep,13 mm (17.3 - 8.7),183.0,108.0,slight / absent anthocyanin (ridge/furrow),812.0,5,moderate,1.69,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10536
UF 210,very slight,slightly acute,moderate,intermediate,11.8 mm (15.4 - 8.2),174.0,87.0,absent anthocyanin,613.0,3,hard,2.00,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.93,Accession TUR10544
UF 221,very slight,slightly acute - acute,slight,superficial - intermediate,9.15 mm (11.3 - 7),178.0,85.0,moderate anthocyanin,505.0,7,soft,2.09,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10545
UF 242,moderate,obtuse - slightly acute,moderate,intermediate,10 mm (12.7 - 7.3),171.0,86.0,absent anthocyanin,557.0,6,hard,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10546
UF 273,very slight,slightly acute,moderate,superficial,10.9 mm (13.2 - 8.6),184.0,89.0,moderate - high / slight - moderate anthocyanin (ridge/furrow),612.0,5,moderate,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10547
UF 29,very slight,obtuse,slight,intermediate,8.95 mm (11.5 - 6.4),154.0,85.0,absent anthocyanin,496.0,5,hard,1.81,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.84,Accession TUR10537
UF 296,moderate,obtuse,moderate,superficial,9.3 mm (11 - 7.6),163.0,86.0,high - intense / moderate - high anthocyanin (ridge/furrow),495.0,7,hard,1.89,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10548
UF 296,moderate,obtuse,slight,superficial,10.35 mm (12.4 - 8.3),159.0,82.0,moderate / negligible - slight anthocyanin (ridge/furrow),463.0,5,hard,1.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10549
UF 36,moderate,obtuse - slightly acute,moderate,intermediate,10.15 mm (13 - 7.3),166.0,86.0,absent anthocyanin,465.0,7,soft,1.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10540
UF 4,very slight,slightly acute,moderate,deep,12.5 mm (15.6 - 9.4),164.0,88.0,absent anthocyanin,549.0,7,soft,1.86,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10532
UF 601,very slight,slightly acute - acute,moderate,superficial - intermediate,12.2 mm (14 - 10.4),185.0,89.0,moderate / negligible - slight anthocyanin (ridge/furrow),723.0,6,soft,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10550
UF 602,moderate,obtuse,moderate,intermediate,9.1 mm (11.3 - 6.9),153.0,90.0,absent anthocyanin,497.0,4,hard,1.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10551
UF 613,slight,acute,slight,intermediate,11.25 mm (13.7 - 8.8),204.0,100.0,high - intense anthocyanin,880.0,3,hard,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10554
UF 613,slight,slightly acute,very slight,superficial,-,-,-,moderate - high / moderate anthocyanin (ridge/furrow),-,3,-,-,-,Accession TUR10556
UF 650,absent,slightly acute,slight,superficial,11.8 mm (14.8 - 8.8),177.0,86.0,moderate anthocyanin,574.0,5,moderate,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.86,Accession TUR10557
UF 654,absent,slightly acute - acute,moderate,superficial - intermediate,10.3 mm (12.2 - 8.4),169.0,83.0,moderate - high / absent anthocyanin (ridge/furrow),532.0,7,moderate,2.03,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10558
UF 666,moderate,acute,slight,superficial,12.75 mm (15.6 - 9.9),222.0,83.0,absent anthocyanin,677.0,5,soft,2.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.57,Accession TUR10559
UF 667,very slight,slightly acute - acute,moderate,intermediate,9.95 mm (12.3 - 7.6),163.0,84.0,moderate / slight anthocyanin (ridge/furrow),523.0,7,hard,1.94,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10560
UF 667,very slight,slightly acute,very slight,superficial,10.4 mm (12.6 - 8.2),186.0,94.0,high / moderate anthocyanin (ridge/furrow),701.0,3,hard,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10562
UF 667,moderate - slight,slightly acute,moderate,superficial - intermediate,-,-,-,-,-,3,-,-,-,Accession TUR10561
UF 668,absent,acute,slight,imperceptible - superficial,8.2 mm (8.2 - 8.2),168.0,88.0,absent anthocyanin,532.0,6,soft,1.90,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10563
UF 672,very slight,acute,slight,superficial - intermediate,12.6 mm (14.4 - 10.8),170.0,82.0,moderate - high / negligible - slight anthocyanin (ridge/furrow),482.0,7,soft,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10564
UF 676,absent,slightly acute,slight - moderate,superficial,12.4 mm (16 - 8.8),166.0,85.0,absent anthocyanin,529.0,7,moderate,1.95,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.78,Accession TUR10565
UF 677,absent,slightly acute,moderate,intermediate,11.4 mm (14.3 - 8.5),170.0,92.0,absent anthocyanin,601.0,6,moderate,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10566
UF 700,absent,slightly acute,moderate,imperceptible - superficial,10.9 mm (13.8 - 8),130.0,82.0,high - intense / moderate anthocyanin (ridge/furrow),418.0,3,hard,1.58,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10567
UF 700,very slight,obtuse,moderate,intermediate,7.55 mm (9.5 - 5.6),188.0,87.0,moderate / slight anthocyanin (ridge/furrow),552.0,5,soft,2.16,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.93,Accession TUR10568
UF 701,very slight,obtuse,slight,superficial,9.3 mm (11.1 - 7.5),157.0,85.0,moderate / negligible - slight anthocyanin (ridge/furrow),513.0,7,soft,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10569
UF 703,absent,obtuse,slight,superficial - intermediate,6.9 mm (8.8 - 5),134.0,84.0,absent anthocyanin,420.0,7,moderate,1.59,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.90,Accession TUR10570
UF 704,moderate - slight,slightly acute,moderate,intermediate,-,-,-,slight - moderate / slight anthocyanin (ridge/furrow),-,2,-,-,-,Accession TUR12875
UF 705,slight,obtuse,moderate,superficial - intermediate,9.6 mm (12 - 7.2),150.0,84.0,absent anthocyanin,437.0,5,hard,1.78,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10571
UF 706,very slight,obtuse,very slight,superficial,9.75 mm (12 - 7.5),144.0,93.0,absent anthocyanin,581.0,2,hard,1.54,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10572
UF 707,very slight,slightly acute,moderate,superficial - intermediate,11.2 mm (13.5 - 8.9),181.0,87.0,absent anthocyanin,607.0,5,soft,2.08,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10573
UF 708,very slight,slightly acute,moderate,imperceptible - superficial,12.45 mm (15 - 9.9),200.0,98.0,high / moderate anthocyanin (ridge/furrow),806.0,3,hard,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.94,Accession TUR10574
UF 709,moderate,slightly acute,slight,intermediate,11 mm (13.8 - 8.2),184.0,90.0,high - intense / moderate anthocyanin (ridge/furrow),691.0,6,soft,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10575
UF 710,very slight,slightly acute,moderate,intermediate - deep,10.95 mm (13.7 - 8.2),204.0,97.0,high / slight anthocyanin (ridge/furrow),841.0,3,hard,2.10,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10576
UF 711,moderate,slightly acute,intense,deep,10.6 mm (13.3 - 7.9),190.0,92.0,high / moderate anthocyanin (ridge/furrow),638.0,5,soft,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10577
UF 712,slight,obtuse,slight - moderate,intermediate,10.6 mm (13.5 - 7.7),171.0,92.0,absent anthocyanin,629.0,4,soft,1.85,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10578
UF 713,slight,slightly acute,moderate,intermediate - deep,10.5 mm (12.6 - 8.4),171.0,81.0,absent anthocyanin,509.0,4,moderate,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10579
UF 714,absent,obtuse,very slight,superficial,-,-,-,moderate / slight - moderate anthocyanin (ridge/furrow),-,1,-,-,-,Accession TUR10580
UF 715,slight,slightly acute,slight,imperceptible - superficial,11.65 mm (13.7 - 9.6),153.0,84.0,high / moderate anthocyanin (ridge/furrow),463.0,7,soft,1.82,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10581
UF 716,slight,slightly acute,slight,superficial - intermediate,-,-,-,absent anthocyanin,-,1,-,-,-,Accession TUR10582
UF 717,slight,slightly acute,slight - moderate,intermediate,12.1 mm (15.2 - 9),180.0,80.0,absent anthocyanin,629.0,3,moderate,2.25,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10583
UF 93,very slight,obtuse,slight,imperceptible - superficial,12.3 mm (14.8 - 9.8),149.0,84.0,moderate / absent anthocyanin (ridge/furrow),559.0,3,hard,1.77,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10541
X VERDE,absent,slightly acute - acute,moderate - intense,intermediate - deep,12.5 mm (15.1 - 9.9),201.0,98.0,absent anthocyanin,873.0,3,soft,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10584
